id,forager_id,item_id,kg
ccebe0a4-18a7-4501-95aa-2820f51a2bc1,39fc3738-b9fe-43a8-8886-c23f187c491b,20,4.3
43b89285-3492-477e-b519-d62b0e4fbff5,5bc25e80-e8df-4f5e-afa5-4a684d301333,22,4.0
637a3c6f-90ce-4cbf-845e-4f939c3750d2,0c2f3c2e-0106-4f9c-b715-69900ea8b54a,31,3.0
ae95c6f8-e149-43c4-a414-5c8fd086ccd6,5e315276-f43d-4ffc-bc4e-c0aa4c0796a2,33,90.0
f28ff2d2-e449-48fa-8d4c-00a797618f19,0c2f3c2e-0106-4f9c-b715-69900ea8b54a,13,50.0
90571c52-5450-4d2c-8ba2-fe4fcd961104,337e547f-99b9-421b-9e6e-fbfaadc56ad5,31,90.0
b7ec3b18-e816-4171-932f-8dfb7eee1bf7,dd58d4c1-5e47-4e8e-bf07-28a048317c95,28,240.0
da4c1d4c-3562-4f7e-88bf-920a2216a9d1,bc584535-bc45-425e-8a38-b12b467165c5,32,60.0
b6226071-f931-4e82-8008-8819f4edcc49,78670975-c4b0-4e8f-9be6-d43de160ac2a,34,57.0
7bbc6f3e-5789-4086-92f8-aae79dc190df,5e315276-f43d-4ffc-bc4e-c0aa4c0796a2,17,40.0
d13cf8a2-10fc-4f58-a082-9402cb33953b,78670975-c4b0-4e8f-9be6-d43de160ac2a,1,2.0
